Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Filosofía Código,GG17 Beta Web3 Community & Education,Apr 2023,"54,049.41",$21.58
mevboost.pics,GG17 Beta Web3 Community & Education,Apr 2023,"52,755.99",$21.14
RightfulShare: Putting digital currency in the hands of South Africans to access their rightful share of the digital economy.,GG17 Beta Web3 Community & Education,Apr 2023,"52,174.12",$20.71
Njombe Innovation Academy,GG17 Beta Web3 Community & Education,Apr 2023,"51,677.23",$15.70
NFT Finance Digest,GG17 Beta Web3 Community & Education,Apr 2023,"50,913.00",$13.58
Machina,GG17 Beta Web3 Community & Education,Apr 2023,"50,461.82",$13.45
Techstation,GG17 Beta Web3 Community & Education,Apr 2023,"50,076.23",$11.00
Encriptados,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$10.93
RemittDAO,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$10.87
Decentralized Academy,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$10.62
MakeWater,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$10.57
Mental Wealth Academy,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$9.99
Web3Domains.com,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$9.49
EmprendeDAO,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$9.46
Culture Blocks,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$9.16
AA Chinese Community,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$9.03
Solidity School -  to help Spanish-speaking,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$8.97
The Red Guild,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$8.73
IberoAm: promoting and supporting iberoamerican impact projects,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$8.06
Learning Data Science on the Ethereum Blockchain with @omnianalytics,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$6.96
W3TALK Podcast en español - Tu conexion  a Web3,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$6.93
"forthepeoplexyz: good music, good causes, sounds good",GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$6.75
Buidlers,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$6.47
Social Impact - Through Culturally Rich Web3 Gaming & Entertainment,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$5.74
NatyShi Web3 & Tokenomics in Spanish,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$5.26
Factland DAO: Bet on Factual Disputes and Convene Random Sample Juries to Issue Verdicts and Rewards,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$3.87
CruzoCards - Multi-chain NFT marketplace & Web3 AI-powered platform for digital emotions,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$3.74
Decentralized Library,GG17 Beta Web3 Community & Education,Apr 2023,"49,689.64",$2.89
